Sentence,Type
스스로 계획하여 성취감을 느낄 수 있는 충분한 시간을 제공하는 것이 효과적이다,관습형
과제 지향적이다.,관습형
철저하고 참을성 있다.,관습형
원리원칙주의자이다.,관습형
원칙과 체계가 확립된 환경을 선호한다.,관습형
"자료를 기록, 조직하는 일을 좋아한다.",관습형
"사무적, 계산적 활동을 선호한다.",관습형
현실적이고 성실하다.,관습형
안정성을 중시한다.,관습형
"자유롭고 추상적인 활동, 환경을 기피한다.",관습형
사무적 능력이 뛰어나다.,관습형
"금전, 권력 욕구가 있다.",관습형
"보고서 작성, 결과 분석하기 등의 활동을 즐긴다.",관습형
정확하고 세밀하며 조심성이 있다.,관습형
변화를 좋아하지 않음.,관습형
계획성이 있으며 사무능력과 계산능력이 높음.,관습형
말보다 신체적 작업이나 운동하기를 좋아한다.,현실형
